종목코드,종목명,g(%),beta,기술독점성·시장점유율(25),전환비용·생태계 락인(25),OPM 체력(25),진입장벽(25),m_score,m_factor,beta 지수(1/m_factor),이전 m_score,차이,항목별 근거,비고
TSLA,테슬라,23.67,1.827,15,9,7,14,45,1.45,0.69,48,-3,"기술: EV 점유율 하락 중, FSD·배터리 기술력 / 락인: 충전망·소프트웨어 일부 / OPM: 최근 한 자릿수 초반으로 약화 / 장벽: 제조 규모·브랜드","2026-09-26 Claude 항목별 산정, config 반영"
MU,마이크론,173.61,2.213,15,10,15,18,58,1.58,0.633,49,9,"기술: DRAM 3위, HBM 2~3위 / 락인: 메모리 범용성으로 낮음 / OPM: 현재 업사이클로 높지만 변동 큼 / 장벽: 설비투자·공정기술","2026-09-26 Claude 항목별 산정, config 반영"
SKHY,SK하이닉스(나스닥),109.12,2.395,21,14,17,20,72,1.72,0.581,67,5,SK하이닉스(000660)와 동일 기업이라 같은 점수,"2026-09-26 Claude 항목별 산정, config 반영"
MRVL,마벨 테크놀로지,53.85,2.28,17,15,11,17,60,1.6,0.625,66,-6,"기술: 커스텀 실리콘 2위권, 광 DSP 선두 / 락인: 하이퍼스케일러 설계 채택 / OPM: 인수 상각 등으로 GAAP 마진 얇음 / 장벽: 설계 IP","2026-09-26 Claude 항목별 산정, config 반영"
LITE,루멘텀,76.28,1.54,15,9,5,14,43,1.43,0.699,53,-10,기술: 데이터센터 광부품(EML 레이저 등) 경쟁력 / 락인: 부품 공급사라 낮음 / OPM: GAAP 적자 / 장벽: 광소자 제조 기술,"2026-09-26 Claude 항목별 산정, config 반영"
COHR,코히런트,48.98,2.11,15,10,9,15,49,1.49,0.671,57,-8,기술: 광트랜시버·레이저 폭넓은 포트폴리오 / 락인: 부품 공급사라 중간 이하 / OPM: GAAP 마진 한 자릿수~10%대 / 장벽: 소재~모듈 수직계열화,"2026-09-26 Claude 항목별 산정, config 반영"
LLY,일라이릴리,30.55,0.45,23,15,21,23,82,1.82,0.549,82,0,기술: GLP-1 비만·당뇨 치료제 양강 선두 / 락인: 환자·처방 관성은 있으나 경쟁약 등장 시 전환 가능 / OPM: 40% 안팎 / 장벽: 특허·대규모 생산설비,"2026-09-26 Claude 항목별 산정, config 반영"
ANET,아리스타 네트웍스,28.98,1.61,19,18,22,16,75,1.75,0.571,73,2,"기술: 데이터센터 고속 스위칭 선두 / 락인: EOS 운영체제로 도입 후 전환비용 큼 / OPM: 40% 안팎 / 장벽: 소프트웨어 품질·고객 관계, 엔비디아·시스코 경쟁","2026-09-26 Claude 항목별 산정, config 반영"
SNDK,샌디스크,54.54,5.2,13,6,14,16,49,1.49,0.671,41,8,기술: NAND 점유율 중위권 / 락인: 범용재라 매우 낮음 / OPM: 현재 업사이클 고점이나 과거 적자 이력 / 장벽: 설비투자·공정기술,"2026-09-26 Claude 항목별 산정, config 반영"
COST,코스트코,11.03,0.88,18,21,6,17,62,1.62,0.617,52,10,기술(점유율): 창고형 할인점 선두 / 락인: 멤버십 갱신율 90% 이상 / OPM: 유통 특성상 3~4% / 장벽: 규모의 구매력·저가 구조,"2026-09-26 Claude 항목별 산정, config 반영"
CRDO,크레도 테크놀로지,52.78,3.24,17,12,13,13,55,1.55,0.645,58,-3,기술: AEC(액티브 전기 케이블)·SerDes 선두 / 락인: 설계 채택은 있으나 고객 집중 / OPM: GAAP 흑자 전환 후 개선 중 / 장벽: 소형사라 대형 경쟁사 진입 위험,"2026-09-26 Claude 항목별 산정, config 반영"
ALAB,아스테라랩스,64.96,3.73,17,15,12,14,58,1.58,0.633,61,-3,"기술: PCIe 리타이머 선두 / 락인: COSMOS 소프트웨어·서버 설계 채택 / OPM: GAAP 흑자 초기 / 장벽: 초기 선점, 대형 경쟁사 추격 가능","2026-09-26 Claude 항목별 산정, config 반영"
